course,year,skill,self_rating,projects_completed,level
B.Tech CSE,2,ETL,5,2,Advanced
B.Tech ECE,2,PostgreSQL,1,2,Beginner
MBA,1,NLP,3,2,Intermediate
M.Sc Statistics,2,Pandas,3,2,Intermediate
MCA,1,Data Structures,1,2,Beginner
B.Tech AI & ML,1,Calculus,2,0,Beginner
B.Sc Information Technology,1,Database Administration,2,1,Intermediate
B.Tech IT,4,Networking,4,1,Intermediate
B.Tech Data Science,4,Computer Vision,3,6,Advanced
B.Sc Mathematics,2,PyTorch,5,4,Advanced
B.Tech IT,4,Communication,1,3,Beginner
BCA,1,Scikit-learn,1,5,Intermediate
BCA,2,Backup and Recovery,2,2,Intermediate
M.Tech,3,NLP,2,2,Intermediate
B.Sc Mathematics,4,FastAPI,4,5,Advanced
BBA,3,Cryptography,2,1,Intermediate
B.Sc Information Technology,2,Power BI,2,4,Intermediate
B.Tech AI & ML,2,OOP,5,1,Advanced
B.Tech CSE,1,Transformers,4,0,Advanced
M.Sc Data Science,3,NLP,4,2,Advanced
B.Tech EEE,2,Data Warehousing,1,3,Beginner
B.Tech EEE,2,PostgreSQL,5,2,Advanced
B.Sc Computer Science,1,MySQL,3,5,Intermediate
B.Tech Civil,4,A/B Testing,3,2,Intermediate
B.Tech ECE,4,Data Warehousing,2,0,Beginner
B.Com,3,Computer Vision,4,2,Intermediate
M.Tech,3,Linux,1,3,Beginner
B.Com,1,Backup and Recovery,2,2,Intermediate
BCA,4,Data Structures,3,4,Intermediate
B.Tech ECE,1,Database Security,4,3,Advanced
B.Tech IT,1,CI/CD,2,4,Intermediate
M.Sc Data Science,3,Python,1,2,Beginner
B.Tech EEE,4,Scikit-learn,4,4,Advanced
B.Tech Civil,4,NLP,5,6,Advanced
B.Tech CSE,4,Incident Response,1,4,Beginner
B.Sc Information Technology,2,Data Warehousing,4,4,Advanced
B.Sc Mathematics,4,OOP,2,0,Beginner
BCA,2,Cryptography,3,1,Intermediate
MCA,1,Backup and Recovery,5,3,Advanced
B.Sc Computer Science,2,Database Administration,1,3,Beginner
B.Tech Civil,3,Database Administration,2,2,Intermediate
B.Tech ECE,1,Algorithms,1,3,Intermediate
M.Sc Data Science,2,Communication,4,0,Intermediate
M.Sc Computer Science,3,Deep Learning,1,3,Beginner
MCA,1,Tableau,2,5,Intermediate
B.Tech ECE,4,Python,5,5,Advanced
B.Tech IT,4,Communication,3,4,Intermediate
B.Com,4,Database Administration,4,5,Advanced
B.Tech ECE,2,Docker,3,5,Intermediate
B.Tech CSE,4,Docker,3,4,Advanced
M.Sc Computer Science,2,Calculus,3,4,Advanced
BCA,4,PyTorch,4,5,Advanced
B.Sc Data Science,1,Data Warehousing,3,5,Advanced
M.Sc Computer Science,4,Research,4,1,Intermediate
B.Sc Information Technology,4,Apache Spark,3,3,Intermediate
MBA,1,Communication,5,6,Advanced
B.Tech ECE,1,Algorithms,4,1,Advanced
BCA,4,A/B Testing,2,0,Beginner
B.Tech Civil,4,Networking,5,2,Advanced
BCA,1,Excel,5,4,Advanced
B.Tech Data Science,1,Data Warehousing,3,0,Intermediate
MCA,3,Database Security,2,2,Intermediate
M.Sc Data Science,3,A/B Testing,4,1,Advanced
B.Com,1,Database Security,4,5,Advanced
MBA,3,Excel,2,6,Intermediate
M.Sc Data Science,4,SIEM,2,4,Intermediate
M.Sc Statistics,4,Deep Learning,2,3,Beginner
B.Sc Computer Science,3,FastAPI,5,6,Advanced
B.Tech Data Science,1,Data Visualization,1,0,Beginner
M.Sc Statistics,4,Terraform,4,1,Advanced
M.Sc Computer Science,1,Linux,3,1,Intermediate
MCA,3,PyTorch,5,4,Advanced
B.Tech ECE,3,Transformers,3,5,Intermediate
M.Tech,2,Data Visualization,2,0,Beginner
MCA,4,Terraform,5,6,Advanced
B.Tech Civil,2,OOP,2,1,Intermediate
B.Sc Statistics,4,ETL,1,2,Beginner
B.Sc Statistics,2,MySQL,2,6,Intermediate
BBA,2,Power BI,4,5,Advanced
B.Tech Civil,4,Data Structures,3,5,Advanced
M.Sc Computer Science,4,Incident Response,5,4,Advanced
MCA,4,Git,3,5,Advanced
B.Tech ECE,4,Docker,4,3,Advanced
MCA,1,OOP,2,4,Intermediate
MCA,2,Data Warehousing,1,4,Beginner
B.Tech AI & ML,4,MySQL,1,3,Beginner
B.Com,2,Computer Vision,5,3,Advanced
M.Sc Computer Science,2,NLP,3,3,Intermediate
B.Tech ECE,3,SQL,2,1,Intermediate
B.Tech Civil,2,Backup and Recovery,1,5,Beginner
BBA,3,Cybersecurity,4,1,Advanced
B.Sc Statistics,3,Linear Algebra,4,6,Advanced
B.Sc Mathematics,4,Linux,4,2,Advanced
M.Tech,1,OpenCV,2,3,Intermediate
B.Sc Mathematics,3,Web Security,2,5,Intermediate
BCA,2,Git,5,3,Advanced
B.Tech AI & ML,1,Business Analysis,5,0,Advanced
M.Sc Computer Science,3,PostgreSQL,5,2,Advanced
B.Tech EEE,4,Data Structures,1,4,Beginner
B.Sc Information Technology,3,NumPy,4,5,Advanced
MCA,1,Data Visualization,4,4,Advanced
M.Sc Computer Science,1,Machine Learning,4,0,Intermediate
B.Sc Information Technology,2,Tableau,1,5,Intermediate
B.Sc Computer Science,2,Database Security,5,1,Advanced
B.Sc Computer Science,2,Tableau,1,2,Beginner
B.Tech CSE,4,MySQL,4,2,Advanced
B.Com,4,Product Analytics,3,5,Advanced
M.Sc Computer Science,4,Pandas,3,6,Advanced
B.Sc Data Science,1,Database Security,3,5,Advanced
B.Tech IT,2,Machine Learning,5,4,Advanced
B.Tech Mechanical,3,Incident Response,3,6,Advanced
B.Sc Computer Science,1,Deep Learning,5,0,Advanced
B.Com,2,Deep Learning,4,3,Advanced
B.Sc Statistics,3,Git,1,2,Beginner
B.Tech IT,3,FastAPI,3,5,Advanced
B.Sc Data Science,4,Research,3,3,Advanced
MCA,3,Excel,2,2,Beginner
B.Tech Mechanical,2,Research,3,2,Intermediate
M.Tech,1,Backup and Recovery,3,6,Advanced
B.Tech Civil,2,Apache Spark,1,1,Beginner
MBA,1,PyTorch,2,3,Intermediate
M.Sc Data Science,3,System Design,5,5,Advanced
B.Com,3,Transformers,3,3,Intermediate
B.Tech Civil,1,Pandas,3,4,Intermediate
B.Sc Computer Science,4,Database Administration,4,6,Advanced
B.Sc Information Technology,4,Cybersecurity,2,6,Advanced
B.Sc Data Science,4,Transformers,5,0,Advanced
MCA,3,Cybersecurity,3,1,Intermediate
MBA,3,FastAPI,1,4,Beginner
B.Tech Data Science,2,PyTorch,4,0,Advanced
B.Com,4,Deep Learning,1,1,Beginner
MBA,2,Research,4,6,Advanced
M.Sc Computer Science,4,Transformers,5,0,Advanced
B.Sc Information Technology,4,Algorithms,3,5,Intermediate
B.Tech CSE,3,SQL,1,3,Beginner
B.Sc Statistics,4,Incident Response,1,5,Intermediate
B.Sc Computer Science,3,FastAPI,3,2,Intermediate
B.Sc Information Technology,2,Transformers,4,0,Intermediate
B.Sc Mathematics,4,FastAPI,4,0,Intermediate
B.Sc Mathematics,3,NLP,2,1,Beginner
B.Sc Information Technology,3,PyTorch,5,2,Advanced
B.Sc Computer Science,3,NLP,1,4,Beginner
B.Tech Mechanical,1,Linear Algebra,2,1,Beginner
MBA,1,Data Warehousing,1,0,Beginner
B.Sc Computer Science,2,AWS,1,2,Beginner
B.Tech ECE,2,Cryptography,4,6,Advanced
B.Sc Computer Science,2,Git,3,6,Advanced
BBA,3,Database Administration,3,5,Intermediate
B.Sc Computer Science,3,CI/CD,1,6,Intermediate
B.Tech Mechanical,4,Database Security,1,5,Intermediate
B.Tech Mechanical,2,Docker,3,5,Intermediate
B.Tech Data Science,1,Scikit-learn,1,4,Beginner
B.Com,1,Cryptography,4,0,Intermediate
B.Tech AI & ML,2,NumPy,5,6,Advanced
M.Sc Statistics,1,OOP,2,3,Intermediate
B.Tech ECE,3,Cryptography,1,1,Beginner
M.Sc Statistics,1,NumPy,5,1,Advanced
B.Tech IT,3,NumPy,4,0,Advanced
B.Sc Computer Science,3,Computer Vision,5,5,Advanced
B.Tech AI & ML,4,Linear Algebra,5,0,Advanced
B.Tech EEE,3,SIEM,1,2,Beginner
MBA,2,Networking,2,4,Intermediate
B.Com,2,Testing,5,6,Advanced
B.Sc Computer Science,3,Research,4,6,Advanced
B.Tech Data Science,4,Incident Response,2,2,Intermediate
B.Sc Computer Science,2,Deep Learning,5,3,Advanced
B.Sc Statistics,4,Database Administration,5,2,Advanced
B.Tech Civil,3,Scikit-learn,2,0,Beginner
B.Tech AI & ML,1,A/B Testing,4,0,Intermediate
B.Tech Civil,4,Web Security,2,0,Beginner
M.Sc Computer Science,2,Networking,3,1,Intermediate
B.Tech AI & ML,4,Python,1,5,Intermediate
BBA,1,OpenCV,3,0,Intermediate
BCA,4,Computer Vision,2,1,Intermediate
B.Sc Statistics,4,PostgreSQL,1,0,Beginner
B.Sc Computer Science,1,OOP,2,3,Intermediate
B.Tech Mechanical,2,Python,2,2,Beginner
M.Sc Data Science,2,Excel,5,2,Advanced
B.Tech Mechanical,1,REST API,5,4,Advanced
B.Tech Mechanical,4,ETL,2,3,Intermediate
B.Tech ECE,2,Product Analytics,4,5,Advanced
B.Sc Information Technology,2,Incident Response,4,0,Advanced
B.Tech AI & ML,3,NumPy,4,0,Intermediate
M.Sc Computer Science,3,Docker,1,6,Intermediate
MBA,4,Kubernetes,3,5,Advanced
B.Tech CSE,3,REST API,4,0,Intermediate
M.Sc Computer Science,1,Statistics,4,4,Advanced
B.Sc Computer Science,3,Incident Response,3,0,Intermediate
BBA,3,NLP,4,0,Intermediate
B.Tech Mechanical,1,Networking,4,1,Intermediate
B.Sc Computer Science,3,MySQL,2,4,Intermediate
B.Tech IT,4,Scikit-learn,2,4,Intermediate
B.Tech IT,1,Cybersecurity,3,4,Advanced
B.Com,3,OpenCV,4,2,Advanced
M.Sc Data Science,3,OOP,3,3,Intermediate
M.Tech,2,Computer Vision,3,5,Intermediate
MBA,1,Business Analysis,3,4,Intermediate
B.Tech ECE,2,Research,1,4,Beginner
M.Tech,2,System Design,2,4,Intermediate
B.Tech AI & ML,2,SQL,4,3,Advanced
B.Com,4,Database Security,5,4,Advanced
M.Sc Computer Science,3,Deep Learning,2,4,Intermediate
M.Sc Computer Science,2,MySQL,5,6,Advanced
B.Tech Mechanical,3,Testing,1,4,Intermediate
B.Tech CSE,4,Excel,5,2,Advanced
B.Tech CSE,2,Excel,3,5,Intermediate
M.Sc Statistics,3,CI/CD,4,3,Advanced
B.Sc Data Science,3,Cybersecurity,5,4,Advanced
B.Tech EEE,3,Cybersecurity,2,2,Beginner
B.Sc Data Science,4,Networking,2,6,Intermediate
B.Tech ECE,2,Scikit-learn,5,0,Advanced
BBA,1,Linux,4,2,Advanced
B.Tech IT,3,Deep Learning,1,4,Beginner
BCA,4,Scikit-learn,4,5,Advanced
B.Sc Information Technology,1,Product Analytics,4,4,Advanced
B.Tech CSE,1,OOP,4,4,Advanced
B.Tech EEE,1,Scikit-learn,3,3,Intermediate
M.Sc Computer Science,1,System Design,1,2,Beginner
B.Com,2,Linux,4,3,Advanced
B.Tech AI & ML,1,Git,2,5,Intermediate
B.Tech ECE,2,Testing,1,6,Intermediate
B.Sc Mathematics,1,Calculus,2,6,Advanced
B.Tech IT,1,Cryptography,3,5,Advanced
B.Com,3,AWS,3,4,Advanced
B.Tech Mechanical,4,Research,4,6,Advanced
BBA,1,Research,2,5,Intermediate
B.Com,4,REST API,3,0,Intermediate
B.Com,4,ETL,4,0,Intermediate
B.Tech Data Science,1,OOP,5,1,Advanced
B.Sc Computer Science,1,Web Security,1,0,Beginner
B.Tech EEE,4,Statistics,3,5,Advanced
B.Tech Data Science,4,Incident Response,4,3,Intermediate
B.Com,2,Backup and Recovery,2,3,Intermediate
B.Tech Civil,1,Database Administration,2,0,Beginner
B.Sc Data Science,1,Scikit-learn,1,5,Intermediate
B.Tech EEE,2,Backup and Recovery,2,6,Intermediate
B.Sc Data Science,3,Computer Vision,3,3,Intermediate
B.Tech Civil,1,ETL,4,5,Advanced
MCA,2,Statistics,4,6,Advanced
B.Tech Civil,2,Networking,3,2,Intermediate
BBA,1,CI/CD,5,6,Advanced
M.Tech,2,Database Security,3,4,Advanced
BBA,1,Calculus,4,6,Advanced
MCA,1,Data Structures,3,2,Intermediate
B.Sc Data Science,3,MySQL,2,6,Intermediate
B.Sc Data Science,3,A/B Testing,4,5,Advanced
M.Sc Data Science,3,FastAPI,3,5,Advanced
B.Tech Data Science,4,Power BI,2,4,Intermediate
M.Sc Data Science,1,PyTorch,5,0,Advanced
M.Sc Statistics,4,REST API,3,5,Advanced
M.Tech,3,PostgreSQL,2,2,Intermediate
B.Tech CSE,2,NLP,1,6,Intermediate
MBA,2,Communication,5,6,Advanced
B.Tech Mechanical,3,Data Warehousing,5,3,Advanced
B.Tech ECE,1,Excel,1,0,Beginner
M.Sc Data Science,3,Networking,2,3,Intermediate
B.Tech Civil,3,Linux,3,6,Advanced
B.Tech Civil,2,Pandas,4,0,Intermediate
B.Sc Information Technology,2,OpenCV,2,0,Beginner
B.Tech Data Science,3,FastAPI,1,1,Beginner
B.Tech CSE,4,Communication,3,1,Intermediate
B.Tech CSE,3,Tableau,3,2,Intermediate
B.Tech Civil,1,Computer Vision,3,5,Intermediate
B.Sc Computer Science,3,Data Structures,5,6,Advanced
B.Sc Computer Science,4,Transformers,4,0,Advanced
M.Sc Computer Science,3,Power BI,5,3,Advanced
B.Tech CSE,4,Cybersecurity,4,4,Advanced
M.Sc Statistics,1,SIEM,1,5,Beginner
B.Sc Statistics,2,Linux,5,0,Advanced
MBA,4,Data Warehousing,2,4,Intermediate
B.Sc Mathematics,2,FastAPI,1,5,Beginner
B.Sc Information Technology,3,System Design,1,0,Beginner
B.Sc Mathematics,1,Calculus,4,4,Advanced
B.Tech Data Science,1,Data Visualization,2,6,Intermediate
MCA,3,OpenCV,3,3,Advanced
MCA,1,Tableau,5,1,Advanced
B.Tech EEE,3,Data Structures,3,2,Intermediate
B.Tech IT,4,Linux,5,6,Advanced
MCA,2,Deep Learning,5,4,Advanced
B.Tech CSE,2,Data Visualization,4,3,Intermediate
BCA,1,Data Warehousing,2,1,Intermediate
MCA,2,SIEM,5,3,Advanced
B.Tech Data Science,3,Scikit-learn,3,1,Advanced
B.Sc Computer Science,3,Scikit-learn,5,2,Advanced
BCA,2,Computer Vision,2,1,Beginner
B.Tech ECE,1,Incident Response,4,0,Intermediate
M.Tech,4,System Design,5,5,Advanced
M.Tech,3,Data Visualization,4,1,Advanced
MCA,2,AWS,4,2,Advanced
B.Tech AI & ML,2,Pandas,2,0,Beginner
B.Tech Civil,1,Deep Learning,1,5,Intermediate
M.Sc Statistics,4,Statistics,4,6,Advanced
BBA,3,Testing,3,4,Intermediate
B.Tech Mechanical,3,Database Security,1,0,Beginner
M.Sc Data Science,2,Incident Response,3,5,Intermediate
B.Tech CSE,3,REST API,3,0,Beginner
B.Sc Mathematics,2,Machine Learning,1,6,Intermediate
B.Tech ECE,1,Kubernetes,3,6,Advanced
B.Tech EEE,1,Calculus,2,2,Intermediate
B.Sc Computer Science,4,NumPy,2,4,Intermediate
B.Tech CSE,1,Product Analytics,3,4,Advanced
B.Tech CSE,3,Apache Spark,4,0,Intermediate
B.Tech ECE,4,Computer Vision,3,4,Intermediate
B.Sc Statistics,4,Deep Learning,2,3,Intermediate
B.Tech Mechanical,2,Excel,5,3,Advanced
B.Tech AI & ML,4,Linux,3,1,Intermediate
M.Sc Statistics,2,Deep Learning,2,0,Beginner
MCA,1,Algorithms,2,2,Intermediate
M.Tech,1,Networking,5,6,Advanced
B.Sc Information Technology,4,Data Visualization,3,1,Intermediate
B.Tech Civil,1,Calculus,1,6,Intermediate
M.Sc Computer Science,2,Tableau,2,6,Intermediate
M.Sc Data Science,4,Database Security,1,0,Beginner
M.Tech,3,System Design,5,1,Advanced
MBA,4,Cybersecurity,2,5,Intermediate
MCA,4,System Design,2,1,Beginner
BBA,4,NLP,1,5,Intermediate
B.Tech AI & ML,1,NumPy,5,0,Advanced
B.Tech Civil,4,Transformers,2,6,Intermediate
B.Com,2,CI/CD,1,6,Beginner
B.Sc Data Science,1,Git,3,4,Advanced
BCA,3,Business Analysis,1,5,Intermediate
BBA,1,NLP,5,0,Advanced
B.Tech CSE,2,Python,4,3,Advanced
MBA,2,OOP,1,5,Intermediate
MBA,2,Communication,4,6,Advanced
M.Sc Data Science,4,Data Visualization,1,4,Beginner
M.Sc Statistics,4,Calculus,5,2,Advanced
B.Tech CSE,1,SIEM,1,2,Beginner
M.Sc Statistics,1,Algorithms,3,3,Intermediate
M.Sc Data Science,4,Algorithms,2,4,Intermediate
BBA,1,Networking,4,3,Advanced
B.Sc Data Science,1,Incident Response,3,6,Advanced
BBA,1,Database Security,2,1,Intermediate
MBA,2,Apache Spark,5,4,Advanced
B.Sc Data Science,3,Communication,5,4,Advanced
BBA,2,System Design,1,1,Beginner
B.Sc Computer Science,4,ETL,1,3,Beginner
M.Sc Computer Science,1,Communication,3,4,Intermediate
B.Tech Mechanical,3,Machine Learning,4,3,Intermediate
B.Tech CSE,1,Linux,3,0,Beginner
B.Tech Civil,3,Terraform,4,4,Advanced
B.Tech CSE,4,NLP,3,3,Intermediate
B.Tech AI & ML,2,Transformers,2,1,Intermediate
B.Sc Computer Science,4,PostgreSQL,1,6,Intermediate
BBA,3,Networking,1,0,Beginner
B.Sc Statistics,1,CI/CD,1,2,Beginner
B.Tech ECE,4,Excel,1,1,Beginner
MBA,1,OOP,3,2,Intermediate
B.Tech AI & ML,4,Networking,2,0,Intermediate
B.Sc Computer Science,4,Database Security,4,2,Advanced
M.Tech,4,Deep Learning,2,4,Intermediate
B.Tech AI & ML,4,NumPy,3,4,Intermediate
B.Tech ECE,2,Database Administration,4,0,Intermediate
BBA,1,MySQL,3,0,Intermediate
BCA,3,System Design,3,0,Intermediate
B.Tech AI & ML,4,Incident Response,2,2,Intermediate
MBA,1,SIEM,5,2,Advanced
B.Tech Mechanical,3,SQL,2,3,Intermediate
MCA,4,Kubernetes,3,6,Advanced
B.Sc Computer Science,1,Linear Algebra,1,4,Intermediate
MCA,4,Data Structures,2,4,Intermediate
B.Sc Mathematics,4,Power BI,1,2,Beginner
B.Tech Mechanical,4,Apache Spark,1,3,Beginner
B.Tech ECE,2,NLP,5,0,Advanced
MBA,4,Git,2,2,Intermediate
B.Tech CSE,1,Apache Spark,2,0,Beginner
M.Tech,1,REST API,3,6,Advanced
M.Sc Statistics,2,Product Analytics,1,6,Intermediate
B.Sc Statistics,2,Linux,5,1,Intermediate
